asin,status,syncroPrice,amazonPrice,syncroStock,amazonStock,priceDiff,stockDiff
"B0FB98FZDF","MATCH","103.39","103.39","20","20","0","0"
"B08GRY1W93","MISSING_IN_AMAZON","601.67",,"20",,,
"1934162523","MISSING_IN_AMAZON","52.96",,"20",,,
"B0FH914VDZ","MATCH","45.92","45.92","20","20","0","0"
"B0CQRXSD37","MISSING_IN_AMAZON","106.99",,"20",,,
"B0D9WR7XPQ","MISSING_IN_AMAZON","167.03",,"0",,,
"B0F323BB8S","MATCH","130.35","130.35","20","20","0","0"
"B00KAJ8KG2","MATCH","136.26","136.26","14","14","0","0"
"B002JQ5LQG","MISSING_IN_AMAZON","0",,"0",,,
"B0CYPQK3LY","MATCH","221.66","221.66","3","3","0","0"
"B09555GFGS","MATCH","136.35","136.35","20","20","0","0"
"B09JWXJJKY","MISSING_IN_AMAZON","99.72",,"20",,,
"B0CG4FK5XV","MATCH","200.54","200.54","20","20","0","0"
"B0BQJ6SQXN","MISSING_IN_AMAZON","54.83",,"20",,,
"B0B63M99KB","MISSING_IN_AMAZON","85.6",,"2",,,
"B0DT4FBGJT","MATCH","89","89","20","20","0","0"
"0140445773","MISSING_IN_AMAZON","65.64",,"20",,,
"B0BJGTK8KT","MISSING_IN_AMAZON","0",,"0",,,
"B013X7WJ6O","MATCH","428","428","20","20","0","0"
"B00GBFUN6O","MATCH","123.1","123.1","20","20","0","0"
"B07S38N71G","MATCH","173.88","173.88","3","3","0","0"
"B083JXZJMJ","MISSING_IN_AMAZON","177.49",,"20",,,
"B0B4V4WCBB","MISSING_IN_AMAZON","67.56",,"20",,,
"B00BNI2OZC","MISSING_IN_AMAZON","105.78",,"8",,,
"B0CZPTY35Y","MISSING_IN_AMAZON","74.62",,"20",,,
"B01GHQ9VE6","MATCH","152.26","152.26","6","6","0","0"
"B0BXQ3148T","MATCH","56.75","56.75","8","8","0","0"
"B0B99D9BT8","MATCH","384.86","384.86","0","0","0","0"
"B09LR5HPB9","MISSING_IN_AMAZON","126.15",,"20",,,
"B01N311XXS","MATCH","73.87","73.87","20","20","0","0"
"B0CWRFYC3F","MISSING_IN_AMAZON","70.3",,"20",,,
"B09MYSWLGT","MATCH","106.99","106.99","20","20","0","0"
"B08BY45X6P","MISSING_IN_AMAZON","72.82",,"20",,,
"B07CRQHF13","MISSING_IN_AMAZON","45.84",,"10",,,
"B005S0X1HG","MISSING_IN_AMAZON","36.85",,"17",,,
"B0CG9WXC8P","MISSING_IN_AMAZON","85.78",,"0",,,
"B0CJ5513RB","MATCH","80.18","80.18","16","16","0","0"
"B0044EF1GQ","MATCH","191.44","191.44","20","20","0","0"
"B0CC917GN1","MATCH","70.82","70.82","20","20","0","0"
"B07H9FJVJM","MISSING_IN_AMAZON","42.06",,"5",,,
"B0DLB8N4PW","PRICE_MISMATCH","0","38.46","0","0","-38.46","0"
"B0C7ZYCNK6","MISSING_IN_AMAZON","119.47",,"20",,,
"B07HK75381","MISSING_IN_AMAZON","71.15",,"20",,,
"B002NXEDU0","MATCH","79.61","79.61","11","11","0","0"
"B0BZRCB6NV","MISSING_IN_AMAZON","45.94",,"20",,,
"B0CYT1LQTJ","MISSING_IN_AMAZON","166.33",,"20",,,
"B09CZDCTVT","MISSING_IN_AMAZON","1606.84",,"10",,,
"B00V6ADRQC","MISSING_IN_AMAZON","225.68",,"20",,,
"B09JPHM7WW","MISSING_IN_AMAZON","286.3",,"20",,,
"B0CGXM7MG1","MATCH","135.76","135.76","20","20","0","0"
"B09JZLPSH8","MATCH","98.2","98.2","7","7","0","0"
"B0DSK9CVND","PRICE_MISMATCH","71.02","71.17","20","20","-0.15","0"
"B0DF7SRP9D","MATCH","78.21","78.21","20","20","0","0"
"B08RWRQBDF","MATCH","113.6","113.6","20","20","0","0"
"B0CH9YM7T4","PRICE_MISMATCH","0","117.42","0","0","-117.42","0"
"B0CH3H371H","MATCH","96.2","96.2","20","20","0","0"
"B093G12XPQ","MISSING_IN_AMAZON","42.24",,"20",,,
"B0D9WKXPZ9","MATCH","114.53","114.53","20","20","0","0"
"B01F7RK40G","MATCH","90.99","90.99","20","20","0","0"
"B0D731KJTN","MATCH","62.15","62.15","20","20","0","0"
"1484261461","MISSING_IN_AMAZON","77.31",,"20",,,
"1423452798","MISSING_IN_AMAZON","72.89",,"20",,,
"B0F21Q7S8M","MATCH","76.57","76.57","20","20","0","0"
"B004VU86DI","MATCH","65.76","65.76","2","2","0","0"
"B0797X3PT7","MATCH","119.57","119.57","13","13","0","0"
"B004SPSZEG","MISSING_IN_AMAZON","123.44",,"2",,,
"B09FQ3B8BB","MISSING_IN_AMAZON","56.61",,"20",,,
"B0DP6VGNM9","PRICE_MISMATCH","177.07","177.44","20","20","-0.37","0"
"B0BQFQ1F98","MATCH","45.84","45.84","20","20","0","0"
"B07558N5X8","MATCH","45.84","45.84","20","20","0","0"
"B07NPWJDNJ","MATCH","146.85","146.85","3","3","0","0"
"B0D8KX97QW","MATCH","174.7","174.7","20","20","0","0"
"B081JTZNRS","MISSING_IN_AMAZON","105.4",,"20",,,
"B0DRP3PQFH","PRICE_AND_STOCK_MISMATCH","89.01","75.41","20","30","13.6","-10"
"B08ZJ82NQN","MISSING_IN_AMAZON","125.23",,"20",,,
"B07214BKS4","MISSING_IN_AMAZON","75.2",,"7",,,
"B000SPOZ5I","MISSING_IN_AMAZON","61.43",,"20",,,
"B0CWRVSDBV","MATCH","146.85","146.85","20","20","0","0"
"B000H5U68O","MISSING_IN_AMAZON","71.02",,"0",,,
"B009PG1FBI","MISSING_IN_AMAZON","99.79",,"20",,,
"B08MVBB1QG","MATCH","103.39","103.39","20","20","0","0"
"B0BHTV384K","MATCH","88.97","88.97","20","20","0","0"
"B07J59S2L3","MISSING_IN_AMAZON","89.2",,"0",,,
"B0CFFXCKST","MATCH","251.51","251.51","6","6","0","0"
"B09M8H87ZS","MISSING_IN_AMAZON","153.58",,"20",,,
"B0CKZ5HY9Q","MATCH","47.74","47.74","3","3","0","0"
"B00A6GIUNC","MISSING_IN_AMAZON","38.66",,"20",,,
"B0C9WBM4J1","MISSING_IN_AMAZON","72.9",,"19",,,
"B00JC606IO","MATCH","68.97","68.97","19","19","0","0"
"B0DYDP81MZ","PRICE_MISMATCH","89","89.19","20","20","-0.19","0"
"B07D2HMP7V","MISSING_IN_AMAZON","45.94",,"20",,,
"B0B6B18929","MATCH","422.21","422.21","20","20","0","0"
"B0795LRTXC","MATCH","104.29","104.29","20","20","0","0"
"B0CJN5WJNK","MATCH","62.15","62.15","20","20","0","0"
"B0D91BX15S","MATCH","81.98","81.98","5","5","0","0"
"B0DS656BGW","MISSING_IN_AMAZON","0",,"0",,,
"B06X6J44NH","MISSING_IN_AMAZON","0",,"0",,,
"B0FDPRNCSJ","MISSING_IN_AMAZON","0",,"0",,,
"B083VZS9KZ","MISSING_IN_AMAZON","117.78",,"11",,,
"B09PBQY2DQ","MATCH","45.84","45.84","20","20","0","0"
"B0BC48WQ1P","MATCH","56.21","56.21","20","20","0","0"
"B06ZYR1YW2","MATCH","125.1","125.1","20","20","0","0"
"B0BHF3HG6T","MATCH","67.42","67.42","6","6","0","0"
"B0DPHRK3HP","MISSING_IN_AMAZON","0",,"0",,,
"B0CM5S2Y9P","MATCH","128.2","128.2","20","20","0","0"
"B094W5M2L6","MISSING_IN_AMAZON","58.43",,"20",,,
"B0030FI3W4","MISSING_IN_AMAZON","44.04",,"20",,,
"B0BD5M4LL8","MATCH","69.36","69.36","20","20","0","0"
"B0CJRMTT64","MATCH","173.16","173.16","20","20","0","0"
"B0DJ5FV69L","MISSING_IN_AMAZON","92.59",,"20",,,
"B0DY65B2QJ","MISSING_IN_AMAZON","177.92",,"20",,,
"B07D3JXQ2V","MISSING_IN_AMAZON","42.24",,"20",,,
"B08ZSM98XZ","MISSING_IN_AMAZON","55.05",,"2",,,
"B076DKL4C2","MISSING_IN_AMAZON","79.6",,"20",,,
"B08G3DCPYM","MISSING_IN_AMAZON","117.12",,"20",,,
"B0C5MTH5Q9","MATCH","101.8","101.8","3","3","0","0"
"B0DQK1MCRB","MATCH","103.39","103.39","20","20","0","0"
"B0CQLJ5D1Q","MATCH","51.24","51.24","20","20","0","0"
"B07BZT5H8P","MISSING_IN_AMAZON","1127.2",,"6",,,
"152309396X","MISSING_IN_AMAZON","61.11",,"20",,,
"B01ET76V2K","MISSING_IN_AMAZON","69.36",,"20",,,
"B07C4Q87YK","MISSING_IN_AMAZON","60.32",,"20",,,
"B0FH4P4P1R","MATCH","297.5","297.5","20","20","0","0"
"B09JWYNC6Z","MISSING_IN_AMAZON","87.67",,"20",,,
"B0D2HZHKX1","MATCH","108.78","108.78","20","20","0","0"
"B0BJ6SZR8Y","MATCH","53.03","53.03","20","20","0","0"
"B08XZSDDSM","MISSING_IN_AMAZON","142.06",,"20",,,
"141971404X","MISSING_IN_AMAZON","56.66",,"0",,,
"B0CNVSBWDZ","MISSING_IN_AMAZON","51.24",,"20",,,
"B0C4TMRLQ8","PRICE_AND_STOCK_MISMATCH","143.05","131.6","20","16","11.45","4"
"B0DYG9J3B2","PRICE_MISMATCH","99.79","100","20","20","-0.21","0"
"B097YTT9RB","MATCH","116.21","116.21","0","0","0","0"
"B0F3WXBGPZ","MATCH","286.33","286.33","0","0","0","0"
"B0DWNLHK5T","MATCH","71.02","71.02","17","17","0","0"
"B07LH4K6TN","MISSING_IN_AMAZON","334.97",,"9",,,
"B07W6S1K7M","MISSING_IN_AMAZON","0",,"0",,,
"B0C1FZ6G52","MATCH","44.13","44.13","20","20","0","0"
"B0D1G3HPSH","MATCH","78.21","78.21","20","20","0","0"
"B00STP6Z1G","PRICE_MISMATCH","363.03","363.78","20","20","-0.75","0"
"B00TQZMW9M","MISSING_IN_AMAZON","49.54",,"20",,,
"B01CCGQKIU","MISSING_IN_AMAZON","51.34",,"20",,,
"B094JPVFV9","MISSING_IN_AMAZON","60.23",,"20",,,
"B0CNSX22DZ","MISSING_IN_AMAZON","45.66",,"18",,,
"B0045Q6WUW","MATCH","105.49","105.49","20","20","0","0"
"B01HSS48EK","MISSING_IN_AMAZON","74.7",,"20",,,
"B0FGTJVKYD","MATCH","59.07","59.07","20","20","0","0"
"B08CK8GK15","MATCH","38.65","38.65","13","13","0","0"
"B0F4WDJHR8","MATCH","72.82","72.82","20","20","0","0"
"B0798Q79RV","MATCH","90.8","90.8","20","20","0","0"
"B0DKJKRTJK","MISSING_IN_AMAZON","218.94",,"20",,,
"B07RXHDFWW","MISSING_IN_AMAZON","56.75",,"20",,,
"B0D7VBN2PP","MATCH","67.42","67.42","6","6","0","0"
"B01J1ZMZ9S","MISSING_IN_AMAZON","44.85",,"20",,,
"B08RDRV54M","MATCH","63.82","63.82","20","20","0","0"
"B0DKSVF9TG","MATCH","146.85","146.85","20","20","0","0"
"B09K38HNZT","MISSING_IN_AMAZON","75.78",,"20",,,
"B0F8TYKHMP","MISSING_IN_AMAZON","119.49",,"4",,,
"B07DXP67QJ","MATCH","128.83","128.83","20","20","0","0"
"1423431146","MISSING_IN_AMAZON","54.83",,"8",,,
"B08DJ38QZG","MISSING_IN_AMAZON","38.63",,"20",,,
"0688152066","MISSING_IN_AMAZON","153.71",,"0",,,
"B0BFNNNC3Q","PRICE_MISMATCH","0","37.68","0","0","-37.68","0"
"B0CRRRGZNT","MATCH","54.22","54.22","20","20","0","0"
"B01LXSZMKY","MISSING_IN_AMAZON","43.99",,"20",,,
"B0CHL21QCZ","MISSING_IN_AMAZON","186.12",,"20",,,
"1568585926","MISSING_IN_AMAZON","52.67",,"4",,,
"B0F42J17BW","MISSING_IN_AMAZON","62.03",,"20",,,
"B0C49PN2BV","MATCH","94.4","94.4","3","3","0","0"
"B0BXF7C33V","MISSING_IN_AMAZON","72.82",,"20",,,
"B0C7NX8X7F","PRICE_MISMATCH","0","138.84","0","0","-138.84","0"
"B0BQXCNL2M","MATCH","137.56","137.56","20","20","0","0"
"B009OT0Z30","MISSING_IN_AMAZON","76.95",,"19",,,
"B0CQT9MCYX","MATCH","103.96","103.96","7","7","0","0"
"B0CXNY5N63","MATCH","55.37","55.37","20","20","0","0"
"B0CJBFZJSH","PRICE_MISMATCH","0","120.85","0","0","-120.85","0"
"B0C65DLCQY","MISSING_IN_AMAZON","79.95",,"20",,,
"B0BJVMCZMX","PRICE_MISMATCH","63.82","63.96","20","20","-0.14","0"
"B0C62D81NZ","MATCH","81.63","81.63","20","20","0","0"
"B077YCCN2S","MATCH","92.53","92.53","10","10","0","0"
